"date","title_web","url_cursos_web"
"2022-09-17","Mejores herramientas para el DISEÑO WEB 2020","https://www.udemy.com/course/herramientas-para-el-diseno-web/"
"2022-09-17","Automatiza publicaciones en Telegram con Laravel","https://www.udemy.com/course/automatiza-publicaciones-en-telegram-con-laravel/"
"2022-09-17","Aprende a crear una página web desde 0","https://www.udemy.com/course/aprende-a-crear-una-pagina-web-desde-0/"
"2022-09-17","Cómo Hacer Un Sitio Web Para Restaurante Y Ordenar En Línea","https://www.udemy.com/course/como-hacer-un-sitio-web-para-restaurante-y-ordenar-en-linea/"
"2022-09-17","Realiza Tu Primer Pagina Web, (HMTL5, CSS & Responsive)","https://www.udemy.com/course/realiza-tu-primer-pagina-web-hmtl5-css-responsive/"
"2022-09-17","Aprendizaje Colaborativo","https://www.udemy.com/course/aprendizajecolaborativo/"
"2022-09-17","Wordpress Desde Cero - Nivel Básico e Intermedio","https://www.udemy.com/course/curso-basico-de-wordpress/"
"2022-09-17","iLife para iPad","https://www.udemy.com/course/ilife-para-ipad/"
"2022-09-17","Recursos digitales para desarrollar Inteligencias Múltiples","https://www.udemy.com/course/recursos-digitales-para-desarrollar-inteligencias-multiples/"
"2022-09-17","Introduccion al Diseño Web","https://www.udemy.com/course/introduccion-al-web-responsive-html5-css3/"
"2022-09-17","Cómo Crear una Página Web Personal o Portafolio","https://www.udemy.com/course/como-crear-una-pagina-web-personal-o-portafolio/"
"2022-09-17","Smart Contracts DApps Blockchain con Solidity, BNB Binance","https://www.udemy.com/course/smart-contracts-dapps-blockchain-con-solidity-bnb-binance/"
"2022-09-17","Uso básico del iPad","https://www.udemy.com/course/uso-basico-del-ipad/"
"2022-09-17","Aprende html5 y css3 creando una web de paneles solares","https://www.udemy.com/course/aprende-html5-y-css3-creando-una-web-de-paneles-solares/"
"2022-09-17","El valor estratégico de la calidad y el servicio","https://www.udemy.com/course/administracion_valor_de_la_calidad_servicio/"
"2022-09-17","CRUD Angular + NET Core + Entity Framework Core + MySql","https://www.udemy.com/course/crud-angular-9-net-core-entity-framework-core-mysql/"
"2022-09-17","Desarrollo de aplicaciones Fiori SAPUI5 con SAP BAS","https://www.udemy.com/course/desarrollo-de-aplicaciones-fiori-sapui5-con-sap-bas-iniciacion/"
"2022-09-17","Manejo docente de la motivación escolar","https://www.udemy.com/course/manejo-docente-de-la-motivacion-escolar/"
"2022-09-17","Curso de Google Sites","https://www.udemy.com/course/curso-de-google-sites/"
"2022-09-17","Competencias Tecnológicas en la Comunicación","https://www.udemy.com/course/competencias-tecnologicas/"
"2022-09-17","Aprende HTML5 para hacer tus propios diseños web","https://www.udemy.com/course/aprende-html5-para-hacer-tus-propios-disenos-web/"
"2022-09-17","Symfony 3 en producción - Subir y publicar proyectos web","https://www.udemy.com/course/symfony-3-en-produccion-subir-y-publicar-proyectos-web/"
"2022-09-17","CRUD Angular + NET Core + Entity Framework Core+SqlServer","https://www.udemy.com/course/crud-angular-9-net-core-entity-framework-coresqlserver/"
"2022-09-17","Curso de FlexBox desde 0","https://www.udemy.com/course/curso-de-flexbox-desde-0/"
